Unnamed: 0,Order_Date,Season,Country,Category,Sub_Category,Product_Name,Unit_Price,Quantity,Discount,Revenue,Cost,Profit,Profit_Margin_%,Shipping_Cost,Shipping_Days,Payment_Method,Month,Year,revenue_per_unit,profit_per_unit,scost_per_revenue,net_revenue
0,2023-01-18,Winter,Mexico,Electronics,Smartphones,Xiaomi 13,520.4,7,0.0,3642.8,2444.11,1198.69,32.91,2.25,4,Google Pay,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000002023,520.4,171.24142857142857,0.0006176567475568243,1619.0222222222224
1,2023-11-13,Fall,USA,Books & Media,Books,Thinking Fast and Slow,22.59,2,0.25,33.88,28.32,5.56,16.41,4.72,5,Credit Card,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000002023,16.94,2.78,0.13931523022432113,7.177966101694916
2,2022-04-28,Spring,Canada,Electronics,Headphones,Bose QC45,241.3,1,0.0,241.3,161.41,79.89,33.11,13.28,8,Credit Card,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000002022,241.3,79.89,0.0550352258599254,18.17018072289157
3,2021-10-22,Fall,Japan,Clothing,Women's Wear,Summer Dress,130.9,5,0.0,654.5,369.16,285.34,43.6,31.11,16,Google Pay,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000002021,130.9,57.068,0.04753246753246753,21.038251366120218
4,2023-08-06,Summer,France,Clothing,Footwear,Adidas Ultraboost,74.51,3,0.2,178.82,118.69,60.13,33.63,8.44,5,Debit Card,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000002023,59.60666666666666,20.043333333333333,0.047198299966446706,21.187203791469194
5,2021-06-25,Summer,China,Clothing,Footwear,Puma Running Shoes,81.89,8,0.25,491.34,372.56,118.78,24.17,56.98,18,Apple Pay,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000002021,61.4175,14.8475,0.11596857573167257,8.623025623025622
6,2024-02-07,Winter,Germany,Clothing,Men's Wear,Chino Pants,66.82,1,0.0,66.82,47.33,19.49,29.17,6.77,11,Debit Card,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000002024,66.82,19.49,0.10131697096677642,9.870014771048744
7,2022-06-05,Summer,Jordan,Electronics,Smartphones,Google Pixel 7,975.79,1,0.5,487.89,538.69,-50.8,-10.41,33.61,18,Cash on Delivery,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000002022,487.89,-50.8,0.06888847896042141,14.516215412079738
8,2022-11-05,Fall,France,Books & Media,Books,Deep Work,35.25,2,0.3,49.35,44.6,4.75,9.63,36.18,13,Credit Card,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000002022,24.675,2.375,0.7331306990881459,1.3640132669983416
9,2023-03-14,Spring,Mexico,Home & Kitchen,Furniture,Bookshelf 5-Tier,110.12,1,0.4,66.07,80.84,-14.77,-22.36,8.53,5,PayPal,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000002023,66.07,-14.77,0.12910549417284697,7.745603751465416
10,2023-08-14,Summer,Japan,Books & Media,Software,Microsoft Office 365,233.65,1,0.05,221.97,155.12,66.85,30.12,9.2,24,Credit Card,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000002023,221.97,66.85,0.04144704239311618,24.12717391304348
11,2022-10-23,Fall,USA,Electronics,Laptops,ASUS ZenBook,1018.41,2,0.0,2036.82,1349.09,687.73,33.76,18.58,8,Bank Transfer,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000002022,1018.41,343.865,0.009122062823420821,109.62432723358451
12,2023-04-05,Spring,Italy,Clothing,Footwear,Adidas Ultraboost,158.5,4,0.4,380.4,394.9,-14.5,-3.81,3.52,6,Apple Pay,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000002023,95.1,-3.625,0.009253417455310201,108.06818181818181
13,2022-06-30,Summer,USA,Beauty & Health,Skincare,Vitamin C Serum,14.85,2,0.15,25.24,20.5,4.74,18.78,25.71,10,Debit Card,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000002022,12.62,2.37,1.0186212361331222,0.9817191754181251
14,2023-07-30,Summer,USA,Clothing,Men's Wear,Hoodie Sweatshirt,99.84,1,0.3,69.89,47.86,22.03,31.52,24.99,10,Credit Card,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000002023,69.89,22.03,0.35756188295893543,2.79671868747499
15,2023-08-11,Summer,China,Beauty & Health,Skincare,Retinol Night Cream,31.22,1,0.25,23.41,16.72,6.69,28.58,28.9,11,Credit Card,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000002023,23.41,6.69,1.2345151644596326,0.8100346020761247
16,2021-11-08,Fall,USA,Books & Media,Software,Photo Editing Suite,231.46,7,0.3,1134.15,805.62,328.53,28.97,13.93,6,PayPal,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000002021,162.02142857142857,46.93285714285714,0.01228232597099149,81.41780330222542
17,2024-08-04,Summer,Egypt,Books & Media,Books,Thinking Fast and Slow,12.46,4,0.5,24.92,31.16,-6.24,-25.04,40.09,12,PayPal,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000002024,6.23,-1.56,1.6087479935794542,0.6216013968570716
18,2022-11-06,Fall,USA,Home & Kitchen,Furniture,Bedside Table,563.09,1,0.0,563.09,254.96,308.13,54.72,35.18,5,Debit Card,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000002022,563.09,308.13,0.06247669111509705,16.005969300739057
19,2023-10-08,Fall,Mexico,Clothing,Women's Wear,Yoga Pants,110.87,2,0.4,133.04,165.23,-32.19,-24.2,96.59,4,Credit Card,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000002023,66.52,-16.095,0.726022248947685,1.3773682575836006
20,2022-03-03,Spring,Kuwait,Clothing,Women's Wear,Blouse Top,97.84,2,0.15,166.33,100.01,66.32,39.87,4.01,7,Credit Card,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000002022,83.165,33.16,0.024108699573137736,41.47880299251871
21,2021-08-15,Summer,Singapore,Home & Kitchen,Appliances,Blender Pro,73.63,6,0.25,331.33,271.92,59.41,17.93,6.68,14,Google Pay,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000002021,55.221666666666664,9.901666666666666,0.020161168623426796,49.6002994011976
22,2022-09-14,Fall,Canada,Clothing,Women's Wear,High-Waist Jeans,23.52,3,0.15,59.98,50.78,9.2,15.34,40.46,4,Bank Transfer,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000002022,19.993333333333332,3.0666666666666664,0.6745581860620207,1.4824518042511121
23,2022-11-13,Fall,Jordan,Clothing,Men's Wear,Slim Fit Jeans,107.55,2,0.0,215.1,108.37,106.73,49.62,28.0,18,Cash on Delivery,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000002022,107.55,53.365,0.1301720130172013,7.682142857142857
24,2023-06-23,Summer,Italy,Clothing,Men's Wear,Hoodie Sweatshirt,51.71,1,0.05,49.12,26.73,22.39,45.58,63.93,6,Bank Transfer,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000002023,49.12,22.39,1.3015065146579805,0.7683403722821835
25,2024-08-13,Summer,UAE,Beauty & Health,Supplements,Whey Protein 2kg,22.5,4,0.1,81.0,45.32,35.68,44.05,13.95,12,Google Pay,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000002024,20.25,8.92,0.17222222222222222,5.806451612903226
26,2024-06-17,Summer,Mexico,Electronics,Tablets,Huawei MatePad 11,330.57,6,0.0,1983.42,1314.28,669.14,33.74,30.93,4,Debit Card,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000002024,330.57,111.52333333333333,0.015594276552621229,64.12609117361785
27,2023-08-03,Summer,Kuwait,Electronics,Headphones,JBL Tune 760NC,138.25,6,0.2,663.6,454.45,209.15,31.52,25.76,17,Google Pay,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000002023,110.60000000000001,34.858333333333334,0.038818565400843885,25.76086956521739
28,2021-12-30,Winter,Jordan,Beauty & Health,Skincare,Sunscreen SPF50,32.95,1,0.2,26.36,22.59,3.77,14.3,5.54,10,Bank Transfer,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000002021,26.36,3.77,0.21016691957511383,4.758122743682311
29,2021-09-17,Fall,Germany,Home & Kitchen,Kitchen Tools,Storage Container Set,60.25,1,0.05,57.24,39.27,17.97,31.39,20.73,8,Apple Pay,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000002021,57.24,17.97,0.36215932914046123,2.7612156295224315
30,2023-02-01,Winter,USA,Books & Media,Books,Rich Dad Poor Dad,24.83,1,0.05,23.59,12.27,11.32,47.99,3.75,10,Apple Pay,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000002023,23.59,11.32,0.15896566341670199,6.290666666666667
