Order_Date,Year,Month,Quarter,Season,Customer_Gender,Customer_Segment,Region,Country,Category,Sub_Category,Product_Name,Unit_Price,Quantity,Discount,Revenue,Cost,Profit,Profit_Margin_%,Shipping_Cost,Shipping_Method,Shipping_Days,Payment_Method,Order_Status,Order_Month,Order_Quarter,Order_Year,revenue_per_unit,profit_per_unit,scost_per_revenue,net_revenue
2021-01-05,2021,January,Q1,Winter,Female,New,Asia,India,Clothing,Men's Wear,Hoodie Sweatshirt,93.49,2,0.4,112.19,130.29,-18.1,-16.13,18.27,Standard,22,Cash on Delivery,Delivered,1,1,2021,56.095,-9.05,0.16284873874676886,6.140667761357417
2021-01-15,2021,January,Q1,Winter,Female,Premium,Middle East,Jordan,Electronics,Laptops,Lenovo ThinkPad X1,931.58,2,0.5,931.58,870.47,61.11,6.56,37.13,Express,18,Credit Card,Delivered,1,1,2021,465.79,30.555,0.03985701711071513,25.08968489092378
2021-01-20,2021,January,Q1,Winter,Female,Regular,Middle East,Egypt,Electronics,Laptops,Dell XPS 15,2091.2,4,0.1,7528.32,3884.4,3643.92,48.4,8.6,Standard,17,Google Pay,Delivered,1,1,2021,1882.08,910.98,0.0011423531412054749,875.3860465116279
2021-01-22,2021,January,Q1,Winter,Male,VIP,Asia,South Korea,Books & Media,Books,Thinking Fast and Slow,36.58,5,0.15,155.46,95.22,60.24,38.75,57.06,Overnight,17,Debit Card,Delivered,1,1,2021,31.092000000000002,12.048,0.3670397529911231,2.7245005257623554
2021-01-25,2021,January,Q1,Winter,Female,Regular,Asia,Japan,Clothing,Women's Wear,High-Waist Jeans,123.25,2,0.0,246.5,142.91,103.59,42.02,94.03,Overnight,10,Credit Card,Delivered,1,1,2021,123.25,51.795,0.3814604462474645,2.6215037753908326
2021-01-29,2021,January,Q1,Winter,Female,New,North America,USA,Clothing,Men's Wear,Formal Shirt,98.44,3,0.1,265.79,157.45,108.34,40.76,40.17,Express,8,Bank Transfer,Delivered,1,1,2021,88.59666666666668,36.11333333333334,0.15113435418939763,6.61662932536719
2021-01-30,2021,January,Q1,Winter,Male,Regular,Asia,Singapore,Clothing,Men's Wear,Hoodie Sweatshirt,40.65,1,0.1,36.59,28.54,8.05,22.0,7.26,Economy,18,Bank Transfer,Delivered,1,1,2021,36.59,8.05,0.19841486745012296,5.039944903581268
2021-02-01,2021,February,Q1,Winter,Male,Regular,Middle East,Jordan,Clothing,Women's Wear,Yoga Pants,134.24,5,0.0,671.2,428.77,242.43,36.12,9.18,Economy,8,Apple Pay,Delivered,2,1,2021,134.24,48.486000000000004,0.013676996424314658,73.11546840958606
2021-02-04,2021,February,Q1,Winter,Female,Regular,Europe,France,Electronics,Laptops,MacBook Air M2,928.34,4,0.15,3156.36,2566.3,590.06,18.69,8.0,Economy,13,Google Pay,Delivered,2,1,2021,789.09,147.515,0.002534565131987479,394.545
2021-02-05,2021,February,Q1,Winter,Female,New,Middle East,UAE,Home & Kitchen,Appliances,Blender Pro,124.58,1,0.25,93.44,91.54,1.9,2.03,17.93,Standard,14,Cash on Delivery,Delivered,2,1,2021,93.44,1.9,0.19188784246575344,5.211377579475739
2021-02-06,2021,February,Q1,Winter,Female,New,Europe,Germany,Clothing,Women's Wear,High-Waist Jeans,114.1,3,0.25,256.72,220.33,36.39,14.17,8.07,Economy,6,Debit Card,Delivered,2,1,2021,85.57333333333334,12.13,0.03143502648800249,31.811648079306075
2021-02-07,2021,February,Q1,Winter,Female,Premium,North America,Mexico,Electronics,Smartphones,Xiaomi 13,1075.01,1,0.05,1021.26,541.14,480.12,47.01,24.16,Express,8,PayPal,Delivered,2,1,2021,1021.26,480.12,0.02365705109374694,42.27069536423841
2021-02-11,2021,February,Q1,Winter,Male,Premium,North America,Canada,Electronics,Headphones,JBL Tune 760NC,124.25,1,0.4,74.55,62.59,11.96,16.04,67.07,Overnight,7,Cash on Delivery,Delivered,2,1,2021,74.55,11.96,0.899664654594232,1.1115252721037723
